newsid,newspaper,title,link,comment,likeit,content,date,category
0000809997,YTN TV,"소백산 대형 산불…""소방 헬기도 투입 못 해""",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=052&aid=0000809997,0.0,0.0,-,2016-04-01,102
0000885356,국민일보,"""청력 예민해진다고해서.."" 대마초 피운 가수 등 무더기 적발",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=005&aid=0000885356,0.0,0.0,-,2016-04-01,102
0002688461,경향신문,[세상 속으로]다문화의 또 다른 그림자 방치된 중도입국 자녀들,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=032&aid=0002688461,0.0,0.0,-,2016-04-01,102
0008300617,연합뉴스,단양 소백산에 큰불,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=001&aid=0008300617,0.0,0.0,-,2016-04-01,102
0000018538,시사IN Live,전자책 도서관에는 사서가 필요 없을까,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=308&aid=0000018538,0.0,0.0,-,2016-04-01,102
0010302940,KBS TV,어선 84% '1인 조업'…사고 땐 속수무책,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=056&aid=0010302940,0.0,0.0,-,2016-04-01,102
0002688446,경향신문,정리해고 후 더 많이 채용하면 “부당해고”,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=032&aid=0002688446,0.0,0.0,-,2016-04-01,102
0002688445,경향신문,얼큰한 선장의 '지그재그'…음주운항 늘고 있다,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=032&aid=0002688445,0.0,0.0,-,2016-04-01,102
0002688443,경향신문,'로스쿨 입시비리' 의혹 제기 경북대 교수 징계 받을 위기,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=032&aid=0002688443,0.0,0.0,-,2016-04-01,102
0000160216,TV조선,'소·말·타조까지…' 도로에 뛰어드는 동물들,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=448&aid=0000160216,0.0,0.0,-,2016-04-01,102
0002688435,경향신문,금연광고 후 때아닌 9월 상담 급증,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=032&aid=0002688435,0.0,0.0,-,2016-04-01,102
0002688436,경향신문,"아저씨, 동굴 밖 세상 따뜻하죠?",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=032&aid=0002688436,0.0,0.0,-,2016-04-01,102
