newsid,newspaper,title,link,comment,likeit,content,date,category
0008372703,연합뉴스,독일대안당 '反이슬람' 강령 채택으로 극우화 가속,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=001&aid=0008372703,0.0,0.0,-,2016-05-01,104
0008372700,연합뉴스,"중국, 외교장관회담서 일본에 역사직시 등 4개항 요구",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=001&aid=0008372700,0.0,0.0,-,2016-05-01,104
0007202071,뉴시스,"유엔 ""4월 한달간 이라크서 폭력사태로 741명 사망""",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=003&aid=0007202071,0.0,0.0,-,2016-05-01,104
0003049713,세계일보,미국 수도 워싱턴서 화물열차 탈선…화학물질 유출,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=022&aid=0003049713,0.0,0.0,-,2016-05-01,104
0008372698,연합뉴스,"사회주의 국가의 노동절을 아십니까…""자유 쿠바 만세""",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=001&aid=0008372698,0.0,0.0,-,2016-05-01,104
0003049712,세계일보,브뤼셀 공항 출국장 재개장…재개 첫날 '상징적' 수준인 3편 운항,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=022&aid=0003049712,0.0,0.0,-,2016-05-01,104
0008372697,연합뉴스,세계 곳곳 노동절 시위…프랑스에선 親기업적 노동개혁 반대(종합2보),http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=001&aid=0008372697,0.0,0.0,-,2016-05-01,104
0002032198,뉴스1,"IS ""이라크 남부 연쇄 차량 폭발 테러 우리 소행""",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=421&aid=0002032198,0.0,0.0,-,2016-05-01,104
0008372695,연합뉴스,日강진 실종자 수색 종료…직간접 사망 66명·실종 1명,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=001&aid=0008372695,0.0,0.0,-,2016-05-01,104
0008372684,연합뉴스,브뤼셀 공항 출국장 재개장… 6월 중순 완전 정상화,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=001&aid=0008372684,0.0,0.0,-,2016-05-01,104
0007202048,뉴시스,터키 경찰서 인근 차량 폭탄 테러… 2명 사망·22명 부상,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=003&aid=0007202048,0.0,0.0,-,2016-05-01,104
0008372640,연합뉴스,세계 각국서 노동절 시위…프랑스선 노동법 개혁 반대,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=001&aid=0008372640,0.0,0.0,-,2016-05-01,104
0008372615,연합뉴스,이란과 경협 속도 내던 독일 부총리 건강 악화로 이란行 취소,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=001&aid=0008372615,0.0,0.0,-,2016-05-01,104
0008372607,연합뉴스,"이라크 시아파, '그린존'서 이틀째 농성…남부선 폭탄테러",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=001&aid=0008372607,0.0,0.0,-,2016-05-01,104
0002316648,한겨레,지식인 입막던 시진핑의 변화?,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=028&aid=0002316648,0.0,0.0,-,2016-05-01,104
0002316650,한겨레,"‘무슬림 흙수저’, 런던시장 선거서 급부상",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=028&aid=0002316650,0.0,0.0,-,2016-05-01,104
0008372598,연합뉴스,이란 차기 의회 여성의원 17명…성직자 출신 처음으로 추월,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=001&aid=0008372598,0.0,0.0,-,2016-05-01,104
0000117067,JTBC TV,현실로 구현된 성서 속 '노아의 방주'…대서양 건넌다,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=437&aid=0000117067,0.0,0.0,-,2016-05-01,104
0002032184,뉴스1,이라크 두 차례 차량 폭발 테러…33명 사망 50명 부상,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=421&aid=0002032184,0.0,0.0,-,2016-05-01,104
0000117066,JTBC TV,"'밀렵과의 전쟁' 나선 케냐, 코끼리 상아 105톤 소각",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=437&aid=0000117066,0.0,0.0,-,2016-05-01,104
0008372594,연합뉴스,"""日 집단자위권 행사 상정한 합동훈련은 선거후에""",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=001&aid=0008372594,0.0,0.0,-,2016-05-01,104
0000117060,JTBC TV,"""개혁을 원한다"" 시위대 의회 점거…이라크 비상사태",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=437&aid=0000117060,0.0,0.0,-,2016-05-01,104
0000404057,SBS TV,"트럼프 꼬집은 오바마 ""세계 미녀 다 만났다""",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=055&aid=0000404057,0.0,0.0,-,2016-05-01,104
0000404055,SBS TV,의사당 점거한 시위대…이라크 '비상사태',http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=055&aid=0000404055,0.0,0.0,-,2016-05-01,104
0008372560,연합뉴스,러 부활절·노동절 겹친 휴일 행사에 테러 경계 강화(종합),http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=001&aid=0008372560,0.0,0.0,-,2016-05-01,104
0002032174,뉴스1,"美 보수단체, 성소수자 화장실 선택권 옹호한 '타겟' 불매 운동",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=421&aid=0002032174,0.0,0.0,-,2016-05-01,104
0000095500,채널A,조롱에 여성 비하…막장 美 대선 비방 광고,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=449&aid=0000095500,0.0,0.0,-,2016-05-01,104
0000140905,한국일보,"앙숙관계였던 아일랜드 양대 정당, 100년 만에 화해",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=469&aid=0000140905,0.0,0.0,-,2016-05-01,104
0000140896,한국일보,"[속속들이 지구촌]미국 조폐국, '중국 역수입 훼손 동전' 보상 거부",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=469&aid=0000140896,0.0,0.0,-,2016-05-01,104
0002114893,오마이뉴스,최악 가뭄에 국민은 '중국탓' 총리는 '하늘탓',http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=047&aid=0002114893,0.0,0.0,-,2016-05-01,104
0002316622,한겨레,카스트로 체제 반세기…혁명수호냐 전격개방이냐,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=028&aid=0002316622,0.0,0.0,-,2016-05-01,104
0002316621,한겨레,"시아파 시위대에 ‘그린존’도 뚫려…이라크, 비상사태 선포",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=028&aid=0002316621,0.0,0.0,-,2016-05-01,104
0003049624,세계일보,"오죽했으면… 중, 관광객 에티켓 교육",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=022&aid=0003049624,0.0,0.0,-,2016-05-01,104
0003049625,세계일보,38% 대 38%… 클린턴·트럼프 지지율 '팽팽',http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=022&aid=0003049625,0.0,0.0,-,2016-05-01,104
0003049626,세계일보,[세계는 지금] 비정규직 처우·보육환경 등 개선…일본 돌파구 찾기 총력,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=022&aid=0003049626,0.0,0.0,-,2016-05-01,104
0003049627,세계일보,[세계는 지금]'잃어버린 20년' 탈출이냐 재진입이냐… 기로에 선 일본경제,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=022&aid=0003049627,0.0,0.0,-,2016-05-01,104
0003049621,세계일보,"'침묵의 살인자' 미세먼지, 지구촌 곳곳 기승",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=022&aid=0003049621,0.0,0.0,-,2016-05-01,104
0008372499,연합뉴스,"日시민들 '침략' 삭제한 박물관에 항의…""가해 직시하라""",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=001&aid=0008372499,0.0,0.0,-,2016-05-01,104
0002316607,한겨레,핵타결 뒤 각국 정상 앞다퉈 구애,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=028&aid=0002316607,0.0,0.0,-,2016-05-01,104
0008372498,연합뉴스,"필리핀 무장단체, 인도네시아 선원 10명 납치 5주만에 석방(종합)",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=001&aid=0008372498,0.0,0.0,-,2016-05-01,104
0003170022,조선일보,지폐 얼굴에도 女性진출 바람,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=023&aid=0003170022,0.0,0.0,-,2016-05-01,104
0002032135,뉴스1,"케냐서 신축건물 붕괴로 최소 12명 사망…""날림공사 탓""",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=421&aid=0002032135,0.0,0.0,-,2016-05-01,104
0008372452,연합뉴스,"화학무기금지기구 총장 ""비가입 북한 골칫거리…핵만 문제 아냐""",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=001&aid=0008372452,0.0,0.0,-,2016-05-01,104
0008372450,연합뉴스,"日야권, 7월 참의원 선거 후보단일화 '착착'",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=001&aid=0008372450,0.0,0.0,-,2016-05-01,104
0008372447,연합뉴스,시리아 알레포 공습에 줄 잇는 피난행렬…미국-러시아 '대립각',http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=001&aid=0008372447,0.0,0.0,-,2016-05-01,104
0003587888,한국경제,"""우리동네 떠나지 마오""…억만장자 붙잡는 미국 주지사들",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=015&aid=0003587888,0.0,0.0,-,2016-05-01,104
