newsid,newspaper,title,link,comment,likeit,content,date,category
0008223978,연합뉴스,전주 아파트서 불…주민 80여명 대피 소동,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=001&aid=0008223978,0.0,0.0,-,2016-03-01,102
0003026328,세계일보,민간 어린이집 보육료 연 최대 6만원 더 낸다,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=022&aid=0003026328,0.0,0.0,-,2016-03-01,102
0003026326,세계일보,초등학교 등·하굣길 차 없는 거리 확대,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=022&aid=0003026326,0.0,0.0,-,2016-03-01,102
0001917932,뉴스1,전주 아파트서 불 나 …주민 80여 명 대피 소동(1보),http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=421&aid=0001917932,0.0,0.0,-,2016-03-01,102
0002680311,경향신문,[부들부들 청년][3부② 장그래는 구고신을 찾지 않는다] “독선적이고 정체된 386세대”…이제 그들은 주인공이 아니다,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=032&aid=0002680311,0.0,0.0,-,2016-03-01,102
0002680312,경향신문,[부들부들 청년][3부② 장그래는 구고신을 찾지 않는다] 장그래가 구고신을 찾지 않는 이유 “바뀌는 건 없고 잃는 것만 많다”,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=032&aid=0002680312,0.0,0.0,-,2016-03-01,102
0002680310,경향신문,"[부들부들 청년][3부② 장그래는 구고신을 찾지 않는다] “386세대, 괴물과 싸우다 괴물이 됐다”",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=032&aid=0002680310,0.0,0.0,-,2016-03-01,102
0000875573,국민일보,지방교부세 나눠먹기 근절되나… 5월 중 집행내역 전면 공개,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=005&aid=0000875573,0.0,0.0,-,2016-03-01,102
0003026322,세계일보,초·중·고교 검정고시로 대학생 된 60대 할머니,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=022&aid=0003026322,0.0,0.0,-,2016-03-01,102
0001917905,뉴스1,제주 해역서 어선끼리 충돌…선원 1명 사망(2보),http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=421&aid=0001917905,0.0,0.0,-,2016-03-01,102
0002680305,경향신문,전국서 “위안부 합의 무효…역사 바로잡자”,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=032&aid=0002680305,0.0,0.0,-,2016-03-01,102
0002680307,경향신문,성인 남성 '성폭력 피해 센터' 이용 67% 급증,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=032&aid=0002680307,0.0,0.0,-,2016-03-01,102
0002680303,경향신문,넘어진 전봇대가 일으켜 세운 '마을 공동체',http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=032&aid=0002680303,0.0,0.0,-,2016-03-01,102
0010291384,KBS TV,"""잊혀진 독립운동의 성지""…안동 '내앞마을'",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=056&aid=0010291384,0.0,0.0,-,2016-03-01,102
0002680300,경향신문,"[어떻게 생각하십니까] 부산경찰청 ""경찰도 카파라치 참여"" 공익신고 장려냐, 우회 실적 쌓기냐",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=032&aid=0002680300,0.0,0.0,-,2016-03-01,102
0002680301,경향신문,"""3일 굶어"" 동정심에 풀려났던 도둑, 잡고보니 '상습 털이범'",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=032&aid=0002680301,0.0,0.0,-,2016-03-01,102
0002680302,경향신문,유아 외국어 조기교육 성인보다 효과 떨어져,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=032&aid=0002680302,0.0,0.0,-,2016-03-01,102
0000110179,JTBC TV,"[꼼꼼한 경제] 아빠들의 육아휴직, 현실은…""구경도 못 해""",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=437&aid=0000110179,0.0,0.0,-,2016-03-01,102
0010291382,KBS TV,순천만 흑두루미 20년 새 20배 증가,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=056&aid=0010291382,0.0,0.0,-,2016-03-01,102
0000788404,YTN TV,[단독] 부장검사 수사 투입…'사기 부부' 신속 구속,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=052&aid=0000788404,0.0,0.0,-,2016-03-01,102
0010291381,KBS TV,[앵커&리포트] 학대받는 노인들…'불효자 엄벌' 법 추진,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=056&aid=0010291381,0.0,0.0,-,2016-03-01,102
0002108713,오마이뉴스,도대체 시댁이 왜 불편하냐는 남자들에게,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=047&aid=0002108713,0.0,0.0,-,2016-03-01,102
0003149027,조선일보,"이혼하면서 ""애들 못키운다""는 부부, 法 ""각자 1명씩 키우라"" 판결",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=023&aid=0003149027,0.0,0.0,-,2016-03-01,102
0010291375,KBS TV,'간도대학살' 사진 공개…日 만행 '생생',http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=056&aid=0010291375,0.0,0.0,-,2016-03-01,102
0010291374,KBS TV,"""이곳이 3·1운동 현장""…방치된 '선열 자취'",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=056&aid=0010291374,0.0,0.0,-,2016-03-01,102
0010291373,KBS TV,전국 곳곳서 3·1절 만세 함성 재현,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=056&aid=0010291373,0.0,0.0,-,2016-03-01,102
0000110162,JTBC TV,[단독] 아파트 '말뚝박기'부터 엉터리…평가지 조작,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=437&aid=0000110162,0.0,0.0,-,2016-03-01,102
0000110160,JTBC TV,"'암행순찰차' 투입 첫날, 딱 걸린 얌체 차…현장 동행",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=437&aid=0000110160,0.0,0.0,-,2016-03-01,102
0000110158,JTBC TV,재판 지지부진…힘든 싸움 계속되는 '일제 피해자들',http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=437&aid=0000110158,0.0,0.0,-,2016-03-01,102
0002680272,경향신문,서울 민간 어린이집 유아 부모 보육료 연 최대 6만원 더 내야,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=032&aid=0002680272,0.0,0.0,-,2016-03-01,102
0002680270,경향신문,'늙어가는 경기' 2030년에 5명 중 1명 노인,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=032&aid=0002680270,0.0,0.0,-,2016-03-01,102
0000155611,TV조선,[어떻게 생각하십니까] 친일인명사전 논란 확산…교장 소환 검토,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=448&aid=0000155611,0.0,0.0,-,2016-03-01,102
0000110157,JTBC TV,한겨울 추위 속 '소녀상 지킴이'…63일만에 농성 해제,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=437&aid=0000110157,0.0,0.0,-,2016-03-01,102
0000382874,SBS TV,"영화 '암살' 실제 모델 김상옥 의사 생가, 헐릴 위기",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=055&aid=0000382874,0.0,0.0,-,2016-03-01,102
0000875514,국민일보,"""수고하세요"" 대체어 없나… '수고'는 '힘 들이고 애씀' 뜻해",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=005&aid=0000875514,0.0,0.0,-,2016-03-01,102
0000875513,국민일보,가정폭력 피해자 8.3%는 남성… 성폭력 피해 성인 남성 1년 새 66.7%나 늘어,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=005&aid=0000875513,0.0,0.0,-,2016-03-01,102
0000110156,JTBC TV,"""위안부 재협상 나서야"" 전국서 집회…인간 소녀상도",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=437&aid=0000110156,0.0,0.0,-,2016-03-01,102
0000130317,한국일보,한일 위안부 합의 무효 전국 행동의 날,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=469&aid=0000130317,0.0,0.0,-,2016-03-01,102
0000382869,SBS TV,취객 돕는 척 다가가 지갑 '슬쩍'…치밀한 수법,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=055&aid=0000382869,0.0,0.0,-,2016-03-01,102
0000382868,SBS TV,바다에 뜬 뒤집힌 배…침몰로 선원 1명 사망,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=055&aid=0000382868,0.0,0.0,-,2016-03-01,102
0000089022,채널A,"[단독]주한미군 군무원, 전 한국인 여친 성폭행",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=449&aid=0000089022,0.0,0.0,-,2016-03-01,102
0000382866,SBS TV,5년 기다려야 들어간다…공공요양원 '하늘의 별 따기',http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=055&aid=0000382866,0.0,0.0,-,2016-03-01,102
0008223877,연합뉴스,"""애들 양육 못한다"" 이혼남녀에 ""한명씩 키워라"" 판결",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=001&aid=0008223877,0.0,0.0,-,2016-03-01,102
0000382864,SBS TV,'불법·난폭 운전자 꼼짝 마라'…도로에 뜬 암행 순찰차,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=055&aid=0000382864,0.0,0.0,-,2016-03-01,102
0000594976,MBC TV,"파산했다던 왕년 농구 스타 박찬숙, 알고 보니 위장 파산",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=214&aid=0000594976,0.0,0.0,-,2016-03-01,102
0000382863,SBS TV,"""출근한다"" 매일 거짓말…빈집 골라 턴 실직 가장",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=055&aid=0000382863,0.0,0.0,-,2016-03-01,102
0000594977,MBC TV,이육사 한 서린 일제 감옥 '철거위기' 놓여,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=214&aid=0000594977,0.0,0.0,-,2016-03-01,102
0000594973,MBC TV,"""조선 호랑이 돌려 달라"" 남획해 간 호랑이 반환 언제?",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=214&aid=0000594973,0.0,0.0,-,2016-03-01,102
0000382862,SBS TV,무섭게 뿜어내는 검은 연기…공장 집어삼킨 불길,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=055&aid=0000382862,0.0,0.0,-,2016-03-01,102
0007071307,뉴시스,횡성서 주택 화재..70대 숨진 채 발견,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=003&aid=0007071307,0.0,0.0,-,2016-03-01,102
0000382859,SBS TV,"독도에서도 ""대한독립 만세""…대형 태극기 '뭉클'",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=055&aid=0000382859,0.0,0.0,-,2016-03-01,102
0000382858,SBS TV,"""대한독립 만세!""…전국에 다시 울린 그날의 함성",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=055&aid=0000382858,0.0,0.0,-,2016-03-01,102
0000382856,SBS TV,한순간 버려지는 120억…'세탁 비닐' 꼭 써야 하나,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=055&aid=0000382856,0.0,0.0,-,2016-03-01,102
0000089005,채널A,[단독]1년 만에 또 갈라진 '용산 싱크홀' 도로,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=449&aid=0000089005,0.0,0.0,-,2016-03-01,102
0000089004,채널A,연예기획사 팀장이 신인 여배우 성폭행,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=449&aid=0000089004,0.0,0.0,-,2016-03-01,102
0000594969,MBC TV,"[뉴스플러스] ""횡단보도 어찌할까?"" 보행·생존권 충돌",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=214&aid=0000594969,0.0,0.0,-,2016-03-01,102
0000089002,채널A,"[단독]""성추행 당했다"" 女코치 탄원서 실종",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=449&aid=0000089002,0.0,0.0,-,2016-03-01,102
0000089001,채널A,"""얌체·난폭 운전 그만!""…'암행 순찰차' 타보니",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=449&aid=0000089001,0.0,0.0,-,2016-03-01,102
0000089000,채널A,"""또 왔어?"" 시장 상인들 치 떨게 한 최악의 주폭",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=449&aid=0000089000,0.0,0.0,-,2016-03-01,102
0000088999,채널A,취객 돕는 척…'부축빼기' 일당 덜미,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=449&aid=0000088999,0.0,0.0,-,2016-03-01,102
0000088998,채널A,'소녀상 말뚝 테러' 단죄 '3년째 헛바퀴',http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=449&aid=0000088998,0.0,0.0,-,2016-03-01,102
0000088996,채널A,"도산 안창호 선생, 멕시코서도 ""나는 대한인""",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=449&aid=0000088996,0.0,0.0,-,2016-03-01,102
0000922261,MBN,"""왜 하필 이곳에""…KTX 안전 위협하는 '까치집'",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=057&aid=0000922261,0.0,0.0,-,2016-03-01,102
0000594968,MBC TV,"취객 노린 '부축빼기' 계좌까지 털었다, 스마트폰 메모장 정보 빼내",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=214&aid=0000594968,0.0,0.0,-,2016-03-01,102
0000594965,MBC TV,"'몰카 범죄' 급증, 판단 기준 모호해 기소율 낮아",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=214&aid=0000594965,0.0,0.0,-,2016-03-01,102
0000130307,한국일보,“불필요한 어린이집 이용 줄이려면 양육수당 20만원 올려야”,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=469&aid=0000130307,0.0,0.0,-,2016-03-01,102
0000594966,MBC TV,"[집중취재] 생활 속 '전자파 위험', 어떻게 피하나?",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=102&oid=214&aid=0000594966,0.0,0.0,-,2016-03-01,102
