newsid,newspaper,title,link,comment,likeit,content,date,category
0008160322,연합뉴스,"英과학자, 인간 초기배아 '유전자 편집' 허가 받아",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=001&aid=0008160322,0.0,0.0,-,2016-02-01,105
0008160306,연합뉴스,"설암 환자에 희소식…日 연구팀, 발성 돕는 인공 혀 첫 개발",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=001&aid=0008160306,0.0,0.0,-,2016-02-01,105
0007019760,뉴시스,삼성-노키아 특허분쟁 타결…연내 1조원 지급,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=003&aid=0007019760,0.0,0.0,-,2016-02-01,105
0008160276,연합뉴스,"중국 달 탐측 사진 공개…""이제는 달의 뒷면 탐사""",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=001&aid=0008160276,0.0,0.0,-,2016-02-01,105
0003675241,매일경제,"MS, 바닷속에 데이터센터 만든다",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=009&aid=0003675241,0.0,0.0,-,2016-02-01,105
0003593194,파이낸셜뉴스,삼성전자-노키아 무선통신 특허 협상 타결,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=014&aid=0003593194,0.0,0.0,-,2016-02-01,105
0002673093,경향신문,삼성의 초대장을 자세히 보면 ‘갤럭시S7’이 보인다?,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=032&aid=0002673093,0.0,0.0,-,2016-02-01,105
0010280817,KBS TV,[앵커&리포트] 저체온 치료와 우주비행에도 '겨울잠' 활용,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=056&aid=0010280817,0.0,0.0,-,2016-02-01,105
0000148919,TV조선,기본료 0원…우체국 알뜰폰 한 달만에 10만 명,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=448&aid=0000148919,0.0,0.0,-,2016-02-01,105
0007019727,뉴시스,"英, 과학자들의 인간 배아 유전자 편집 실험 허락",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=003&aid=0007019727,0.0,0.0,-,2016-02-01,105
