newsid,newspaper,title,link,comment,likeit,content,date,category
0008444787,연합뉴스,"""허리띠 더 졸라매는 그리스인, 커피마저 줄여""",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=001&aid=0008444787,0.0,0.0,-,2016-06-01,104
0002088666,뉴스1,시리아 다라야에 첫 구호물품 전달…포위 이래 처음,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=421&aid=0002088666,0.0,0.0,-,2016-06-01,104
0008444771,연합뉴스,"프랑스 조사단, 지중해 추락 이집트기 블랙박스 신호 포착",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=001&aid=0008444771,0.0,0.0,-,2016-06-01,104
0008444762,연합뉴스,"<긴급> 美재무부, 북한 '자금세탁 우려 대상국' 지정",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=001&aid=0008444762,0.0,0.0,-,2016-06-01,104
0008444759,연합뉴스,프랑스 노동법 개정 반대 철도 파업…철도 운행 40∼60% 취소,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=001&aid=0008444759,0.0,0.0,-,2016-06-01,104
0008444758,연합뉴스,"마잉주 전 대만 총통, 이달 중순 홍콩 방문 추진",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=001&aid=0008444758,0.0,0.0,-,2016-06-01,104
0010323782,KBS 뉴스,"탈레반, 아프간 동부 법원서 자폭테러…10명 사망",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=056&aid=0010323782,0.0,0.0,-,2016-06-01,104
0008444757,연합뉴스,시리아 다라야 지역에 2012년 이래 첫 구호품 수송,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=001&aid=0008444757,0.0,0.0,-,2016-06-01,104
0008444756,연합뉴스,시진핑-김정은 '관계복원' 이구동성…'북핵접점'은 못찾은듯(종합),http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=001&aid=0008444756,0.0,0.0,-,2016-06-01,104
0008444753,연합뉴스,"伊 난민정책 싸고 정교 충돌…""난민 다 수용해야"" vs ""불가능""",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=001&aid=0008444753,0.0,0.0,-,2016-06-01,104
0008444748,연합뉴스,"OECD ""브렉시트 땐 런던금융시장, 유로존 위기때 수준 충격""",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=001&aid=0008444748,0.0,0.0,-,2016-06-01,104
0008444745,연합뉴스,"탈레반, 아프간 동부 법원서 자폭테러…10명 사망",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=001&aid=0008444745,0.0,0.0,-,2016-06-01,104
0010323778,KBS 뉴스,"EU, 민주주의 후퇴 폴란드 공식 제재 절차 돌입",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=056&aid=0010323778,0.0,0.0,-,2016-06-01,104
0007265482,뉴시스,런던에서 2000년 전 로마 시대 서판 발굴돼,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=003&aid=0007265482,0.0,0.0,-,2016-06-01,104
0002088623,뉴스1,"""프랑스 감시선, 추락 여객기 블랙박스 음파 신호 감지""",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=421&aid=0002088623,0.0,0.0,-,2016-06-01,104
0000120458,JTBC,"일본 자민당 의원들 ""소녀상 철거해야 10억 엔 지원""",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=437&aid=0000120458,0.0,0.0,-,2016-06-01,104
0010323767,KBS 뉴스,"“영원한 적도, 친구도 없다”…브렉시트가 만든 영국 정가 풍속도",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=056&aid=0010323767,0.0,0.0,-,2016-06-01,104
0002703707,경향신문,"스위스, 성인에 매달 300만원 ‘꿈’ 이뤄질까",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=032&aid=0002703707,0.0,0.0,-,2016-06-01,104
0002703708,경향신문,'친한파' 도쿄도지사 공금 유용 '제2한국학교 부지'로 튄 불똥,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=032&aid=0002703708,0.0,0.0,-,2016-06-01,104
0002703709,경향신문,미쓰비시 징용 대가 ‘한국 99엔·중국 10만위안’,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=032&aid=0002703709,0.0,0.0,-,2016-06-01,104
0003180067,조선일보,알프스 관통하는 길이 57km 세계 '최장' 철도 터널 개통,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=023&aid=0003180067,0.0,0.0,-,2016-06-01,104
0003061133,세계일보,"엘리자베스 영국 여왕, 미 잡지 표지모델",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=022&aid=0003061133,0.0,0.0,-,2016-06-01,104
0003758914,아시아경제,"추락 이집트 여객기 블랙박스 추정 신호, 수중에서 감지",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=277&aid=0003758914,0.0,0.0,-,2016-06-01,104
0002088614,뉴스1,"트럼프, 자신 소유 골프장 개장 맞아 24일 영국 방문",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=421&aid=0002088614,0.0,0.0,-,2016-06-01,104
0000120448,JTBC,"트럼프, 언론 향해 막말…ABC 기자에 ""추잡한 녀석""",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=437&aid=0000120448,0.0,0.0,-,2016-06-01,104
0000120447,JTBC,"미국 국무부 ""큰 행사 앞둔 프랑스·폴란드 여행 조심""",http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=437&aid=0000120447,0.0,0.0,-,2016-06-01,104
0000120445,JTBC,중국 화학공장 대형 화재…한반도 유독물질 유입 우려,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=437&aid=0000120445,0.0,0.0,-,2016-06-01,104
0008444693,연합뉴스,브렉시트 투표 3주 앞…찬반여론 대혼전 양상,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=001&aid=0008444693,0.0,0.0,-,2016-06-01,104
0002703677,경향신문,'트럼프 대학' 커리큘럼 팔려고 학생들 현혹한 전략 보니…,http://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=104&oid=032&aid=0002703677,0.0,0.0,-,2016-06-01,104
